Number,Language,"Alternate name(s)",Dialect,Location,Population,Classification,Dictionary,Grammar,Textbooks,"Other Sources",Consonants,Stops,Affricates,Fricatives,Nasals,Laterals,Vibrants,Clicks,"Modified Consonants",Glides,Vowels,"Front vowels","Central vowels","Back vowels","Long vowels","Nasal Vowels","Modified Vowels",Diphthongs,Syllable,Tones,Stress,"Noun number","Noun classes",Gender,Demonstratives,Articles,Pronouns,Syntax,Ergative,"Noun incorporation","Prepositions or postpositions",Comments
32,G/wi,,,"W Botswana","2,500","Khoisan: Central: Tshu-Khwe: Southwest","Tanaka, Jiro. 1978. A San Vocabulary of the Central Kalahari. Tokyo: Institute for the Study of Languages and Cultures of Asia and Africa.",DKS,,,"§p  t th tx tʔ     k kh kʔ q ʔ
 b  d              ɡ
     ts tsh tsx tsʔ kx kxʔ 
     dz
     s               x            h 
 m n               ŋ","p b t th tx tʔ d k kh kʔ ɡ q ʔ","ts tsh tsx tsʔ dz kx kxʔ","s x h","m n ŋ",,,"§/   ɡ/   n/   ɡ/n   q/   /x   /xʔ   /h   /ʔ   
ǂ      nǂ   n   qǂ   ǂx   ǂxʔ   ǂh   ǂʔ
!      n!   n   q!   !x   !xʔ   !h   !ʔ
ǁ      nǁ   n   qǁ   ǁx   ǁxʔ   ǁh   ǁʔ",,"j w","§i    u
 e    o
 ɛ
    a","i e",a,"u o",,"ã ũ","eɑ aɑ oɑ","§ai ae ao au ei oe oa ui ue ua 
ã ãũ õã ũ 
oɑi õãɑ   
[oaɑ=pharyngealized; oɑa=partially pharyngealized]",,"hi-lev lo-lev hi-fall lo-ris",,"s p",,"m f",2,,"§1   4dmfc   4mfc
2mf 5dmfc   5mfc
3mf  6dmfc  6mfc
c=common","SOV AN",,,POST,
33,Naron,Naro,,"W Botswana","14,000","Khoisan: Central: Tshu-Khwe: Southwest",,DKS,,"§CBH
NBL","§p  t th tx        k kh q ʔ
 b  d               ɡ
     ts tsh tsʔ tsx kxʔ
     dz
     s               x       h
m (n)","p b t th tx d k kh ɡ q ʔ","ts tsh tsʔ tsx dz kxʔ","s x h","m (n)",,,"§/   ɡ/   n/   ɡ/n   /x    /xʔ   /h   /ʔ   
!      n!   n    !x   !xʔ   !h   !ʔ    
ǁ      nǁ   n   ǁx   ǁxʔ   ǁh   ǁʔ
ǂ     nǂ   n   ǂx   ǂxʔ  ǂh   ǂʔ",,"j w","§i    u
 e    o
    a","i e",a,"u o",,"§ã ũ 
ãɑ ũɑ","vɑ (pharynɡealized) all","§ai ae ao au (ei) ɛi oe oa ui ue 
ã ãũ õã 
aiɑ aeɑ auɑ oaɑ uiɑ uaɑ aɑo (partially pharyngealized) 
oɑa ãɑ ãũɑ",,"lo-lev hi-lev hi-fall lo-ris",,,,,,,"§1      4dmfc 4mfc
2mf   5dmfc 5mfc
3mf   6dmfc 6mfc",SOV,,,,
34,Gǁani,,,Namibia,,"Khoisan: Central: Tshu-Khwe: Southwest",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SOV,,,,
35,N/hain.tse,,,Botswana,,"Khoisan: Central: Tshu-Khwe: Southwest",,,,CBH,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,"§1mf 4dmfc 4mfc
2mf 5dmfc 5mfc
3mfn 6dmfc 6mfc",SOV,,,,
36,!Ô,,,Botswana,,"Khoisan: Southern: Ta'a",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
37,ǂHû,ǂHua,,"W Botswana","1,000","Khoisan: Southern: Ta'a",,,"Maingard, L. F. 1958. ""Three Bushman Languages,"" African Studies 16: 37-71.","§Traill, A. 1974. ""Agreement Systems in !xõ,"" Limi 2:2, 12-27.
CBH","§(p) t         k     ʔ
   b  d         ɡ
       tsʔ  čʔ  kxʔ
       dz
       s    š    x   h
 
 m   n   ñ    ŋ
        l
        ɾ","(p) b t d k ɡ ʔ","tsʔ dz čʔ kxʔ"," s š x h","m n ñ ŋ",l,ɾ,"§ʘ  ʘh  ʘʔ    ʘx  nʘ
/   /h   /ʔ  ɡ/   /x   /xʔ  n/
! !h  !ʔ     !x   !xʔ n!   
ǁ   ǁh   ǁʔ     ǁx   ǁxʔ   nǁ    
ǂ    ǂh   ǂʔ      nǂ",,"j w","§i    u
 e    o
    a","i e",a,"u o",v,"§ṽ 
",,,,tones,,,,,,,"§1 4
2 5
3 6","SVO NA GN ND POSS-N",,,PREP,
38,N/amani,!Xóõ,,"SW Botswana","4,200","Khoisan: Southern: Ta'a","Traill, Anthony.  1994.  A !Xóo Dictionary.  Köln: Rudiger Köppe Verlag.",,,,"§p ph pʔkxʔ  h ʔ x dh dx                          k kh kʔ kxʔ ɡkh q qh qʔ Gqh ʔ
 b                                                       ɉ  ɡ                    G
                 ts dtsh tsx tsʔʔkxʔ dʔkxʔ dtsx tsʔ       kxʔ dtsʔ   kxʔ
","p ph pʔkxʔ b  h ʔ x dh dx  ɉ k kh kʔ kxʔ ɡkh ɡ q qh qʔ Gqh G ʔ","ʔ kxʔ dʔ kxʔ ts dtsh tsx tsʔ dtsx tsʔ kxʔ dtsʔ kxʔ dz","f s x h","m ʔm  ʔ ñ",l,,"§ʘ    ʘx  x  ʘkxʔ  kxʔ  qʘ  Gʘ  qʘh  Gʘh  qʘʔ  ʘh  ʘ  nʘ  ʔnʘ  ʘʔ  
/  ɡ/  /x  ɡ/x  /kxʔ  ɡ/kxʔ  q/  G/  q/h  G/h  q/ʔ  /h  /  n/  ʔn/  /ʔ 
!    !x  x  !kxʔ  kxʔ  q!  G!  q!h  G!h  q!ʔ  !h  !  n!  ʔn!  !ʔ 
ǁ    ǁx  x  ǁkxʔ  kxʔ  qǁ  Gǁ  qǁh  G",,(w),"§i   u
 e   o
    a","i e",a,"u o",,"ṽ all","§v̰ (pharyngealized) all   
vʰ (breathy voice) all   
vʔ (laryngealized) all",,,"lev fall",,"s p",5,,,,"§1   4d   4
2     5d   5
3ai         6ai","SVO NA GN ND POSS-N  N-D-A",,,,
39,ǁNg.!'e,,,"South Africa",,"Khoisan: Southern: Ta'a",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
40,N/huki,,,"South Africa",20,"Khoisan: Southern: !Wi",,"Lanham, L. W. and D. P. Hallowes, 1956. ""An Outline of the Structure of Eastern Bushman,"" African Studies 15, 97-118.",,"§Maingard, L. F. ????. ""The ǂKhomani Dialect of Bushman: Its Morphology and Other Characteristics,"" in Bushman of the Southern Kalahari, 237-75.
CTIL 7, 414. 
CBH","§    t        c ch k
 b            ɉ      ɡ
          tsʔ         kxʔ
          s    š     x
 
m ʔm  n          ŋ ʔŋ
          l","b t c ch ɉ k ɡ","tsʔ kxʔ"," s š x","m ʔm n ŋ ʔŋ",l,,"§ʘ ʘh ʘɦ  ʘʔ   ʘx ʘxʔ nʘ nʘɦ 
/ /h /ɦ  /ʔ ɡ/  /x /xʔ n/ n/ɦ 
ǂ ǂh ǂɦ  ǂʔ   ǂx ǂxʔ nǂ nǂɦ 
ǁ ǁh ǁɦ  ǁʔ   ǁx ǁxʔ nǁ nǁɦ 
! !h !ɦ  !ʔ   !x !xʔ n! n!ɦ",,"j w","§i    u
 e    o
    a","i e",a,"u o",,"ṽ all",,,,tones,,"s p",,,,,"§1 4ie
2 5
3 6","SVO AN GN N-NUM POSS-N",,,,
41,ǁXekwi,,,Namibia,extinct,"Khoisan: Southern: !Wi",,,,"CTIL 7, 415.","§ph t th tʔ          ch cʔ k kh kʔ  q qh qʔ
  b  d                 ɉ      ɡ          G
      ts tsʔ tl tlh tlʔ č čʔ kxʔ
      dz                      ǧ
    s                 š                                h
      z                 ž","ph b t th tʔ d ch cʔ ɉ k kh kʔ ɡ q qh qʔ G","ts tsʔ dz tl tlh tlʔ č čʔ ǧ kxʔ"," s z š ž h ɦ","m n ñ ŋ","l ɬ ɮ","r ɹ","§ʘ ʘh ʘʔ  nʘ nʘɦ 
/ /h  /ʔ ɡ/   n/ n/ɦ 
ǂ ǂh  ǂʔ   nǂ nǂɦ  
ǁ ǁh ǁʔ   nǁ nǁɦ 
! !h  !ʔ   n! n!ɦ",,"j w",§,,,,,,,,,,,,,,,,"§1 4
2 5
3 6",SVO,,,,
42,/Xam,,,"South Africa",extinct,"Khoisan: Southern: !Wi",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,SVO,,,,
43,Tulishi,,,"C Sudan","8,600","Niger-Kordofanian: Kordofanian: Kadugli: Western",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,"§1 4ie
2 5
3mf 6","SVO NG N-POSS",,,,
44,Keiga,,,"C Sudan","6,000","Niger-Kordofanian: Kordofanian: Kadugli: Western",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,,,,"§1 4ie
2 5
3 6","SVO NG N-POSS",,,,
45,Kanga,,,"C Sudan","6,300","Niger-Kordofanian: Kordofanian: Kadugli: Western",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,,"SVO NG",,,,
46,Miri,,,"C Sudan","8,000","Niger-Kordofanian: Kordofanian: Kadugli: Central",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,"§1 4ie
2 5
3mf 6","SVO NG N-POSS",,,,
47,Kadugli,,,"C Sudan","19,000","Niger-Kordofanian: Kordofanian: Kadugli: Central",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,"§1 4ie
2 5
3mf 6","SVO NG N-POSS",,,,
48,Katcha,,,"C Sudan (Nuba Hills)","6,000","Niger-Kordofanian: Kordofanian: Kadugli: Central",,,,LA,"§p       t    c k (ʔ)
  b ɓ  d ɗ ɉ  ɡ
            s    š
  m       n   ñ ŋ
             l
             r","p b ɓ   t d ɗ c ɉ k ɡ (ʔ)",,"s š","m n ñ ŋ",l,r,,"§c d m n l   
Nc b  d ɉ ɡ","j w","§i     u
  e    o 
  ɛ     ɔ
      a","i e ɛ",a,"u o ɔ",v,,"vowel harmony",,(C)V(C),,,"s p",,"m f n","5 this/that near you/that not far and not near/yonder stationary/yonder approaching",,"§1 4ie
2 5
3mf 6","SVO NA NG ND N-POSS",,,,
49,Tumma,,,"C Sudan","5,200","Niger-Kordofanian: Kordofanian: Kadugli: Central",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,,"SVO NG",,,,
50,Krongo,,,"C Sudan","11,600","Niger-Kordofanian: Kordofanian: Kadugli: Eastern",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,"§1 4ie
2 5
3mf 6","VSO NG N-POSS",,,PREP,
51,Tumtum,,,"C Sudan","1,300","Niger-Kordofanian: Kordofanian: Kadugli: Eastern",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,"m f n",,,,"SVO NG",,,,
52,Katla,,,"C Sudan (Nuba Hills)","8,700","Niger-Kordofanian: Kordofanian: Katla",,,,LA,"§      t    k kp (ʔ)
  b  d  ɉ ɡ ɡb
        s             h
 m    n ñ ŋ
        l
        r (ɾ)","b   t d ɉ k ɡ kp ɡb (ʔ)",,"s h","m n ñ ŋ",l,"r (ɾ)",,"§Nc b  d ɉ ɡ ɡb s 
cʷ ?","j w","§i    u
 e    o
 ɛ    ɔ
    a","i e ɛ",a,"u o ɔ","v ?",,"vowel harmony",,"(C)V(C) ","hi lo",,"s p",,," 3",,"§1 4
2 5
3 6","SVO NA NG N-POSS",,,,
53,Tima,,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Katla",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,,,,"§1 4
2 5
3 6","SVO NA NG N-POSS",,,,
54,Ko,Fungor,,"C Sudan (Nuba Hills)","2,700","Niger-Kordofanian: Kordofanian: Heiban: Eastern",,,,"SK 1","§p      (t)     c  k ʔ
  b ɓ  (d) ɗ  ɉ  ɡ
 m        n      ñ  ŋ
             l
             r ɾ","p b ɓ   (t) (d) ɗ c ɉ k ɡ ʔ",,,"m n ñ ŋ",l,"r ɾ",,c,"j w","§i     u
 I  ə  ʋ
 ɛ     ɔ
    a","i I ɛ","ə a","u ʋ ɔ","(I  ɔ ʋ)",,,"ɔw aw aj ɛj",,"hi lo fall (ris) downstep",,"s p","noun classes",,,,"§1 4ie
2 5
3 6",N-POSS,,,,
55,Warnang,,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Heiban: Eastern",,,,"SK 1","§     c k
  b  ɉ  ɡ
    (s)
 m n ñ ŋ
      l
      r ɾ","b   c ɉ k ɡ",,(s),"m n ñ ŋ",l,"r ɾ",,c,"j w","§i    u
       ʋ
 ɛ ə ɔ
    a","i ɛ","ə a","u (ʋ) ɔ","v all but ə",,,"aw ɛj ɔj",,"hi lo fall",,"s p","noun classes",,,,"§1 4de(?) 4
2 5
3 6",N-POSS,,,,
56,Rere,Koalib,,"C Sudan (Nuba Hills)","24,000","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Central",,,,"§LA
SK 1 
WPF","§p t t    c   k
      (s) (š)
(v)
 m   n   ñ   ŋ
       l
       r","p t t c k",,"(v) (s) (š)","m n ñ ŋ",l,r,,,"j w","§i    u
 I  ə ʋ
 ɛ ɐ ɔ 
    a","i I ɛ","ə ɐ a","u ʋ ɔ","v all but ə",,,diphthonɡs,(C)V(C),"hi lo fall",,"s p","23 (persons, trees, common objects, long objects, large and harmful animals, hollow deep objects, small or domesticated animals, augmentatives, infinitives, liquids, body parts, misc)",,3,,"§1 4d 4ie
2 5
3 6","SVO NA NG ND N-POSS",,,,
57,Utoro,,,"C Sudan (Nuba Hills)","10,400","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Central",,,,"§LA
SK 1","§p  t  c k
 b  d ɉ  ɡ
 m   n ñ ŋ
        l
        r ɾ","p b   t d c ɉ k ɡ",,,"m n ñ ŋ",l,"r ɾ",,c,"j w","§i      u
 I   ə  ʋ
 ɛ  ɐ   ɔ
     a","i I ɛ","ə ɐ a","u ʋ ɔ","v all but I ə ɐ",,,"aw aj ɛj ɔj",,"hi lo fall?",,"s p","noun classes",,3,,"§1 4ie
2 5
3 6","SVO/(VSO [with one aspect]) NA NG ND N-NUM N-POSS",,,,
58,Logol,,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Heiban: West-Central: Central",,,,"SK 1","§p      c k
 b   ɗ ɉ ɡ
 f   s
 v
 m n   ñ ŋ
      l
      r ɾ","p b   ɗ c ɉ k ɡ",,"f v s","m n ñ ŋ",l,"r ɾ",,c,"j w","§i           u
  I   ə       ʋ
 ɛ  ɐ  (ɤ) ɔ
     a","i I ɛ","ə ɐ a","u ʋ (ɤ) ɔ","v all but ə",,,"aw aj ɛj",,"hi lo fall downstep",,"s p","noun classes",,2,,"§1 4
2 5
3 6","ND N-POSS",,,,
59,Ebang,Heiban,,"C Sudan (Nuba Hills)",690,"Niger-Kordofanian: Kordofanian: Heiban: West-Central: Central",,,,"SK 1","§b  d  ɉ ɡ
 m    n ñ ŋ
        l
        r","b  d ɉ ɡ",,,"m n ñ ŋ",l,r,,c,"j w","§i      u
  I   ə  ʋ
 ɛ  ɐ   ɔ
     a","i I ɛ","ə ɐ a","u ʋ ɔ","v all but ə",,,"uI aw aj ɛj ɔj",,"hi lo fall?",,"s p","noun classes",,2,,"§1 4d 4ie
2 5
3 6","NG ND N-POSS",,,,
60,Laru,,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Heiban: West-Central: Central",,,,"SK 1","§p  t c k
 m   n ñ ŋ
        l
        r","p  t c k",,,"m n ñ ŋ",l,r,,c,"j w","§i      u
  I   ə  ʋ
 ɛ  ɐ   ɔ
     a","i I ɛ","ə ɐ a","u ʋ ɔ","v all but ə",,,"aw aj ɛj ɔj",,"hi lo fall?",,"s p","noun classes",,,,"§1 4
2 5
3 6",ND,,,,
61,Shirumba,Shwai,,"C Sudan (Nuba Hills)","2,800","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Shirumba",,,,"SK 1","§p   t   k
 b  d ɉ ɡ
(ɸ)     š
 v
 m  n ñ ŋ
       l
       r ɾ","p b   t d ɉ k ɡ",,"(ɸ) v š","m n ñ ŋ",l,"r ɾ",,c,"j w","§i      u
  I   ə  ʋ
 ɛ  ɐ   ɔ
     a","i I ɛ","ə ɐ a","u ʋ ɔ","v all",,,"aw iw ɛj ia",,"hi lo fall?",,"s p","noun classes",,2,,"§1 4im 4if 4em 4ef
2 5
3 6
""The meanings of the various forms of the first person plural remain doubtful. In particular the masculine/feminine contrast does not recur elsewhere in the HEIBAN group, whereas dual and plural are commonly distinguished. On th","ND N-POSS",,,,
62,Tiro,,,"C Sudan (Nuba Hills)","10,000","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Western",,,,"§LA
SK 1","§p   t c k
 b  d ɉ ɡ
(f) 
 v
 m n ñ ŋ
     l
     r ɾ","p b   t d c ɉ k ɡ",,"(f) v","m n ñ ŋ",l,"r ɾ",,c,"j w","§i      u
  I   ə  ʋ
 ɛ  ɐ   ɔ
     a  ɑ","i I ɛ","ə ɐ a","u ʋ ɔ ɑ","v all but I ə ɑ",,,"ej aw",,"hi lo fall",,"s p","noun classes",,,,"§1 4die 4ie
2 5d 5
3 6","SVO/(VSO [with one aspect]) NA NG ND N-POSS",,,,
63,Moro,,,"C Sudan (Nuba Hills)","30,000","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Western",,,,"SK 1","§p  t  c k
 b  d  ɉ ɡ
 f     s
 m   n ñ ŋ
       l
       r ɾ","p b   t d c ɉ k ɡ",,"f s","m n ñ ŋ",l,"r ɾ",,"§c 
cʷ ? ""phonological status . . . not clear""","j w","§i      u
  I       ʋ
 ɛ  ə  ɔ
     a","i I ɛ","ə a","u ʋ ɔ","i ē  ɐ a u ʋ ɔ",,,"aj aw ej ow",,"hi lo fall",,"s p","noun classes",,,,"§1 4di 4ie
2 5
3 6",N-POSS,,,,
64,Moro,,"Umm Dorein","C Sudan (Nuba Hills)","30,000 (460)","Niger-Kordofanian: Kordofanian: Heiban: West-Central: Western",,"GD: Black, K. 1971. The Moro Language: Grammar and Dictionary. Khartoum.",,"§LA
","§p      ṭ     k (ʔ)
 b      ḍ    ɡ
              č 
              ǧ
 f ϑ s
   ð
 m   n    ñ  ŋ
        l ḷ
        r","p b   ṭ ḍ k ɡ (ʔ)","č ǧ","f ϑ ð s","m n ñ ŋ","l ḷ",r,,"§c p ϑ n ŋ l r 
cʷ all but ǧ f s 
Nc b   ṭ ḍ k ɡ","j w","§i         u
 e  ə  ɤ o
     a","i e","ə a","u o ɤ",,,,"ei ɤi ɤu oi ai au","(C)(C)V(C) n↔| ",,non-phonemic,"s p","12 (unduplicated objects, liquids, seasons, relatives, body parts, animals, personal names)",,3,,"§1 4d 4ie
2 5
3 6","SVO NA NG ND N-NUM N-POSS N+D+Num+A",,,PREP/POST,
65,Tegem,Lafofa,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Talodi",,,,"SK 2","§p   t c  k
 b   d ɉ  ɡ
 m n    ñ ŋ
      l
      r ɾ","p b   t d c ɉ k ɡ",,,"m n ñ ŋ",l,"r ɾ",,"k  l","j w","§i      u
  I       ʋ
 ɛ  ə   ɔ
     a","i I ɛ","ə a","u ʋ ɔ","v all but ə",,,,,"hi lo fall ris downstep",,"s p","noun classes",,,,"§1 4
2mfc 5
3mfn 6","SOV NA GN ND POSS-N",,,,
66,Nding,Eliri,,"C Sudan (Nuba Hills)",,"Niger-Kordofanian: Kordofanian: Talodi",,,,"SK 2","§p  t  c k
 b  d  ɉ ɡ
 m   n ñ ŋ
        l
        r","p b   t d c ɉ k ɡ",,,"m n ñ ŋ",l,r,,"§c 
cʷ j d b c k m ŋ","j w","§i     u
  I      ʋ
 ɛ     ɔ
     a","i I ɛ",a,"u ʋ ɔ","v all",,,,,"hi lo ris fall",,"s p","noun classes",,,,,"NA NG N-POSS",,,,
67,Jomang,Talodi,,"C Sudan",,"Niger-Kordofanian: Kordofanian: Talodi",,,,"§LA
SK 2","§p   t  c k
 b  d  ɉ  ɡ
        s
 m    n ñ ŋ
         l
         r ɾ","p b   t d c ɉ k ɡ",,s,"m n ñ ŋ",l,"r ɾ",,c,"j w","§i       u
  I  (ə) ʋ
 ɛ       ɔ
     a","i I ɛ","(ə) a","u ʋ ɔ","v all",ṽ,,aj,(C)V(C),"hi lo fall",,"s p","noun classes",,2,,"§1 4ie
2 5
3 6","SVO [present aspect]/(VSO [past aspect]) NA NG ND N-POSS",,,,
68,Tocho,"Moro Hills",,"C Sudan","3,800","Niger-Kordofanian: Kordofanian: Talodi",,,,"SK 2","§p  t c k
 b    ɉ  ɡ
 m  n ñ ŋ
       l
       r ɾ","p b   t c ɉ k ɡ",,,"m n ñ ŋ",l,"r ɾ",,"§c 
cʷ ","(j w)","§i      u
  I  (ə) ʋ
 ɛ       ɔ
     a","i I ɛ","(ə) a","u ʋ ɔ","v all",,,,,"hi lo fall",,"s p","noun classes",,,,"§1 4di 4
2 5
3","NG ND",,,,
69,Ngile,Masakin,,"C Sudan",,"Niger-Kordofanian: Kordofanian: Talodi",,,,"§SK 2
WPF","§p   t c k
 b  ɗ      ɡ
       s
 m   n  ñ  ŋ
        l
        r ɾ","p b   t ɗ c k ɡ",,s,"m n ñ ŋ",l,"r ɾ",,c,"j w","§i      u
  I       ʋ
 e  ə  o
 ɛ      ɔ
     a  ɑ","i I e ɛ","ə a","u ʋ o ɔ ɑ (""I suspect that this is an overdifferentiating."" p. 67","v all but ə",,,,,"hi lo fall downstep",,"s p","noun classes",,2,,"§1 4ie
2 5
3 6","NG ND N-POSS",,,,
70,Dengebu,Dagik,,"C Sudan",,"Niger-Kordofanian: Kordofanian: Talodi",,,,"§LA
SK 2","§p   t  k
 b      ɡ
         ts
 m  n ŋ
         l
         r ɾ","p b   t k ɡ",ts,,"m  n ŋ",l,"r ɾ",,c,"j w","§i      u
  I       ʋ
 ɛ  ə  ɔ
     a","i I ɛ","ə a","u ʋ ɔ","v all but ə",,,,,"hi lo (fall)",,"s p","noun classes",,2,,"§1 4ie
2 5
3 6","SOV [present aspect]/(VSO [past aspect]) NA NG ND N-NUM N-POSS",,,,
71,Tegali,,Rashad,"C Sudan (Nuba Hills)","5,000","Niger-Kordofanian: Kordofanian: Rashad",,,,LA,"§    t c k
 b  d ɉ
 f   s       (h)
 m n ñ ŋ
      l
      ɾ","b t d c ɉ k",,"f s (h)","m n ñ ŋ",l,ɾ,,"§c 
Nc b d ɉ","j w","§i    u
 e ə o
    a","i e","ə a","u o",,,,,(C)V(C),,phonemic,"s p",,,3,,"§1 4
2 5
3 6","SOV NA NG ND N-POSS",,,,
72,Tagoi,,,"C Sudan","1,600","Niger-Kordofanian: Kordofanian: Rashad",,,,LA,"§




",,,,,,,,,,,,,,,,,,,,,"s p","noun classes",,3,,"§1 4
2 5
3 6","SOV NA NG ND N-POSS",,,,
73,Tingal,,,"C Sudan","2,100","Niger-Kordofanian: Kordofanian: Rashad",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Tukum,,,"C Sudan","2,000","Niger-Kordofanian: Kordofanian: Rashad",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Turum,,,"C Sudan",800,"Niger-Kordofanian: Kordofanian: Rashad",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Bobo-Fing,,Sya,"W Burkina Faso","4,000","Niger-Kordofanian: Niger-Congo: Mande",,,,LMS,"§




",,,,,,,,,,,,,,,,,,,,,"s p",,,,,"§1 4ie
2 5
3 6","SOV GN POSS-N",,,POST,
77,Soninke,,Marka,Mali,"457,000","Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Soninke-Bozo",,,,"§Meillassoux, Claude, Lassana Doucouré and Diaowé Simagha. 1967.
Légende de la dispersion des Kusa. Dakar: IFAN.","§     c  k q
 b   ɉ  ɡ
 f           χ h
 m  ñ ŋ
      
      ɾ","b   c ɉ k ɡ q",,"f  χ h","m  ñ ŋ",,ɾ,,"Nc p t d","j w","§i    u
 ɛ    o
    a","i ɛ",a,"u o",,"ṽ all",,,,,,,,,,,,"SOV NA GN ND N-NUM POSS-N N+A+D+Num",,,POST,
78,Bozo,,,Mali,,"Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Soninke-Bozo",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Susu,,,"S Guinea","400,000","Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Susu-Yalunka","Lacan, P. 1942. Grammaire et dictionnaire franҫais-sousou et soussou-franҫais. Bordeaux: Procure des PP. du Saint-Esprit.","Houis, Maurice. 1963. Étude descriptive de la langue susu. Dakar: IFAN.","Friedländer, Marianne. 1974. Lehrbuch des Susu. Leipzig: VEB Verlag Enzyklopädie.",,"§(p) t      k
  b   d      ɡ ɡb
  f    s      x       h
 m   n ñ (ŋ)
        l
        r","(p) b t d k ɡ ɡb",,"f s x h","m n ñ (ŋ)",l,r,,"Nc d ɡ","j w","§i    u
 e    o
 ɛ    ɔ
    a"," i e ɛ",a,"u o ɔ","v all","ṽ all","vowel harmony",,(C)V,"hi lo ris fall",,"s p",,,2,,"§1 4ie 
2 5
3 6","SOV NA GN DN N-NUM POSS-N",,,POST,
80,Yalunka,,,Guinea,,"Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Susu-Yalunka",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Ligbi,,,"Ivory Coast","50,000","Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Ligbi-Numu",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Numu,Huela,,"Ivory Coast",,"Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Ligbi-Numu",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Vai,,,"NW Liberia","40,000","Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Vai-Kono",,"Welmers, William E. 1976. A Grammar of Vai. UCPL 84.",,,"§p    t  c k kp
 b ɓ d  ɉ  ɡ ɡb
 f     s              h
 v    z
 m   n ñ  ŋ
        l
","p b ɓ t d c ɉ k ɡ kp ɡb",,"f v s z h","m n ñ ŋ",l,,,"Nc b d ɉ ɡ ɡb","(j) w","§i    u
 e    o
 ɛ    ɔ
    a","i e ɛ",a,"u o ɔ","v all","§  ã 
    ",,,,"hi lo",,"s p (pl for personal nouns only)",,,2,def,"§1 4
2 5
3 6","SOV NA GN ND N-NUM POSS-N N+A+Num+D",,,POST,
84,Kono,,,"Sierra Leone",,"Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Vai-Kono",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Kono,,,Liberia,"112,000","Niger-Kordofanian: Niger-Congo: Mande: Northern-Western: Northern: Vai-Kono",,,,,"§




",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
